,review,labels
156,"g ad air panasnya, g ada tmpt sampah dan tisue toilet.  .sbnerny y lumayan lha klo bwt smlm. .","['fasilitas_inroom', 'air_panas_P1']"
157,"pelayanan parah, resepsionis yang gondrong amat sangat ketus, SAYA DISINI MENGINAP BAYAR BUKAN GRATIS. tolong untuk resepsionis yang gondrong coba beretika yang lebih SOPAN !",['service_front_office']
158,"sheet ya kurang bersih ,lantainya banyak rambut dan pelayanan kurang .","['kebersihan_inroom_P1', 'linen_P1', 'service']"
159,Kamar tidak pernah dibersihkan dan dirapikan  ,"['service_house_keeping', 'kebersihan']"
160,Ketersediaan air perlu selalu siap sepanjang hari,['fasilitas_inroom']
161,sayangnya ga da Air panas,['air_panas_P1']
162,"staf hotel ramah.. untuk airy room disediakan snack & alat mandi setiap hari. hanya saja seprai & selimut masih ada bekas noda. selain itu, sangat nyaman di hotel ini.",['linen_P1']
163,kamarnya pengap. tidak ada airy snack karena katanya habis dari airynya,['sunrise_meal_P1']
164,Ac kurang dingin,['ac_P1']
165,"Uncomfortable location, the security lock the gate at 10 pm preventing guest to go even to the nearest store, quite bad for those who want to do night outing",['fasilitas']
166,"snack cuma di berikan 1 malam.
",['sunrise_meal_P1']
167,"Banyak semut, dan prabot byk yang rusak seperti pintu kamar mandi ga bisa di kunci, dinding berjamur dan meja sebelah tempat tidur rusak","['rusak', 'serangga', 'fasilitas_inroom', 'fisik_bangunan']"
168,"Karyawan Hotel terlalu berisik, suara troli di lantai atas sangat mengganggu kamar tidak kenal suara. Pesanan saya airy. Tetapi fasilitas seperti snack, toiletres tidak saya dapatkan. ","['sunrise_meal_P1', 'perlengkapan_mandi_P1', 'bising']"
169,pelayanan baik. kamar baik. kamar mandi perlu exost. agak bau di km mandi.,['bau_P1']
170,"the water was so dirty . brown colour, dirty floor and breakfast horrible","['breakfast', 'fasilitas_inroom', 'kebersihan_inroom_P1']"
171,"Lokasi seram, gelap, kamar kotor..toilet kotor...not recomended ..","['service_house_keeping', 'kebersihan']"
172,"Tempatnya si strategis, bnyak yg jual makanan di sekitarnya. Tapi Kamarnya sempit, kamar mandi bau, kran air berkarat semua, air tidak lancar, ada hewan2 di kamar mandi (kecoak, kelabang (meskipun sudah mati)). Jadi kecewa, tidak memuaskan","['serangga', 'fasilitas_inroom', 'bau_P1']"
173,"pure! hotelnya nyeremin,tiap malem. mau tidur banyak suara suara aneh dan spt ada yg liatin (semacem setan keknya). 
lalu ruangan redup dan kurang penerangan, tidak ada telfon, handuk juga diminta dulu baru dikasih.. kamar mandi rada jember..reseptionsnya tada jutek yg bpk bpk cowok entah namanya siapa,ditanya apa jawabnya apa.. hadehhh
NAKUTIN FIX","['kebersihan', 'service', 'service_house_keeping']"
174,"Kamarnya lumayan bersih walau tak persis sama dengan yg di foto. Kebetulan waktu itu saya pakai 2 kamar 1 double bed dan 1 kamar yg twin bed kecil sekali sempit susah bergerak/sholat. Airnya juga suka mati sendiri, tv jadul tidak ada remotnya. Sebenernya ada kamar yg besar-besar seperti di foto tapi tidak masuk/tidak dapat di pesan lewat aplikasi airy cuma bisa di pesan langsung di hotel ( harga hotel ) tentu berbeda. Tidak ada lift jadi cukup menyulitkan saya yg sedang hamil. Kalau sarapannya sih lumayan (standart) semoga next bisa lebih di tingkatkan lagi.",['fasilitas_inroom']
175,Please write or noted if those bathrooms are shared.,['fasilitas']
176,lumayan.tetapi kurang ramah ya,['service']
177,"kamarnya berdebu bangeet, trus pintunya gabisa dikunci dari dalem saya panik kl tbtb ada yang masuk. kamar mandinya klosetnya jg kotor dan keliatan ga pernah di sapu dipel","['fasilitas_inroom', 'service_house_keeping', 'kebersihan']"
178,closetnya mamfet 😨 kamar mandi ngeres,"['kebersihan_inroom_P1', 'fasilitas_inroom']"
179,"kurang tempat sampah di dalam kamar . 
",['fasilitas_inroom']
180,"lokasi hotelnya strategis,  deket ama tempat2 makan di depok dan gampang diakses,  hanya saja kamarnya superrr duper sempitttttty sampe utk buka pintu kamar aja susah karena mentok tempat tidurrr... cuma itu sih yang bikin ga nyaman,  tp pelaynannya ok... ",['fasilitas_inroom']
181,di kamar banyak nyanuk. makanan klu malam tidak tersedia. air panas tidak tersedia. sarapannya lama banget buatnya,"['serangga', 'air_panas_P1']"
182,1. staf kurang ramah 2. denda tidak masuk akal 3. sinyal TV tidak bagus,['service']
183,"tidak sesuai sama yg di foto ,,, saya baru masuk 5menit langsung cekout  ,,, itu mah bukan hotel tapi kos2an kumuh ,,, ",['marketing_false']
184,"Lokasi,fasilitas dan pelayanannya mantap tapi di voucher traveloka tertulis sarapan gratis tapi di voucher airy ""room only""...sarapan tidak di cantumkan jadi salahnya dimana? Pihak traveloka, airy atau hotel???",['airy_internal']
185,"bagus, hanya saja ACnya kurang dingin, resepsionisnya jutek",['service_front_office']
186,"1. banyak semut dan nyamuk. 2. handuk, selimut dan sprei tidak diganti selama 3 hari saya menginap. 3. Handuknya hanya disediakan 1 saja per kamar padahal saya berdua dalam 1 kamar. 4. hari kedua saya menginap, mereka telat memberi jatah minum dan jajan dan peralatan mandi. tunggu ditanya dulu baru diberikan. 5. kurang ramah. maaf dan terima ksh","['service_house_keeping', 'linen_P1', 'serangga', 'handuk_P1']"
187,tidak ada tersedia air minum dan snack yg dimana hotel airy yg biasa saya kunjungi menyiapkan...,"['sunrise_meal_P1', 'air_minum_P1']"
188,"Tempat sangat kotor,sprei,karpetny sudah ga layak.pengcahayaan lorong dan kamar sangat kurang.seharusnya ada kontrol dari airy untuk stan dar hotelnya. akhirny jam 11 malam pindah k hotel lain karena sangat ga nyaman tidur di hotelnya. ","['kebersihan_inroom_P1', 'fasilitas_inroom']"
189,penerangan kamar kurang terang..,['fasilitas_inroom']
190,untuk harga segitu sih so far bagus tp aroma kamar mandi nya khas bgt..Pengen padahal udh ada exshause nya...ampe susah tidur krn udara bau,['bau_P1']
191,"Kamar mandi yg kurang baik perawatannya, kasur yg sedikit gatal.. Kurang puasa sama kamar mandinya ajaa..","['service_house_keeping', 'kebersihan']"
192,"Air kecil banget, susah mandi.",['fasilitas']
193,"Tempat oke, Room bagus cuma tempat lumayan masuk dan saran saja kebersihan kamar lebih di perhatikan lagi terutama sarang laba² yg berkeliaran :) karena saya jg orang perhotelan. ",['serangga']
194,makanan saat breakfast selalu habis sehingga menunggu lama dan menu tidak bervariasi serta hambar,['breakfast']
195,"Kamar 104 yang saya tempati, kurang bagus. Tidak sesuai gambar. Terdapat kerusakan di dinding kamar, dan kamar mandi juga. Kurang bersih. Remote AC kurang berfungsi dengan baik","['fasilitas_inroom', 'fisik_bangunan']"
196,"makanannya kurang enak,  nasinya keras bgt",['breakfast']
197,sarapan  box.. ngga ada lift utk lantai atas.,['fasilitas_non_inroom']
198,"Semua cukup memuaskan, hanya kamar mandi yg sedikit kotor dan ketel listrik yg berkerak shingga saya takut utk menggunakannya","['fasilitas_inroom', 'kebersihan_inroom_P1']"
